Program,Year,Period,Geo Level,State,Commodity,Data Item,Domain,Domain Category,unit,Value
SURVEY,2025,APR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.32
SURVEY,2025,AUG,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.16
SURVEY,2025,FEB,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.43
SURVEY,2025,JAN,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.46
SURVEY,2025,JUL,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.13
SURVEY,2025,JUN,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.19
SURVEY,2025,MAR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.36
SURVEY,2025,MAY,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.24
SURVEY,2024,APR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.24
SURVEY,2024,AUG,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.1
SURVEY,2024,DEC,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.46
SURVEY,2024,FEB,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.3
SURVEY,2024,JAN,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.35
SURVEY,2024,JUL,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.07
SURVEY,2024,JUN,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.1
SURVEY,2024,MAR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.27
SURVEY,2024,MAY,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.17
SURVEY,2024,NOV,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.39
SURVEY,2024,OCT,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.26
SURVEY,2024,SEP,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.16
SURVEY,2024,YEAR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.24
SURVEY,2023,APR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.11
SURVEY,2023,AUG,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4
SURVEY,2023,DEC,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.35
SURVEY,2023,FEB,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.21
SURVEY,2023,JAN,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.23
SURVEY,2023,JUL,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.99
SURVEY,2023,JUN,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.01
SURVEY,2023,MAR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.19
SURVEY,2023,MAY,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.06
SURVEY,2023,NOV,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.32
SURVEY,2023,OCT,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.21
SURVEY,2023,SEP,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.08
SURVEY,2023,YEAR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.14
SURVEY,2022,APR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.08
SURVEY,2022,AUG,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.93
SURVEY,2022,DEC,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.27
SURVEY,2022,FEB,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.18
SURVEY,2022,JAN,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.21
SURVEY,2022,JUL,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.91
SURVEY,2022,JUN,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.94
SURVEY,2022,MAR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.12
SURVEY,2022,MAY,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4
SURVEY,2022,NOV,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.23
SURVEY,2022,OCT,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.14
SURVEY,2022,SEP,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.01
SURVEY,2022,YEAR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.08
SURVEY,2021,APR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.99
SURVEY,2021,AUG,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.88
SURVEY,2021,DEC,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.2
SURVEY,2021,FEB,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.1
SURVEY,2021,JAN,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.1
SURVEY,2021,JUL,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.85
SURVEY,2021,JUN,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.86
SURVEY,2021,MAR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.05
SURVEY,2021,MAY,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.94
SURVEY,2021,NOV,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.15
SURVEY,2021,OCT,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.05
SURVEY,2021,SEP,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.95
SURVEY,2021,YEAR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.01
SURVEY,2020,APR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.95
SURVEY,2020,AUG,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.81
SURVEY,2020,DEC,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.13
SURVEY,2020,FEB,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.01
SURVEY,2020,JAN,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.03
SURVEY,2020,JUL,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.79
SURVEY,2020,JUN,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.82
SURVEY,2020,MAR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.97
SURVEY,2020,MAY,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.87
SURVEY,2020,NOV,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.1
SURVEY,2020,OCT,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,4.02
SURVEY,2020,SEP,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.9
SURVEY,2020,YEAR,NATIONAL,US TOTAL,MILK,"MILK - FAT TEST, MEASURED IN PCT",TOTAL,NOT SPECIFIED,%,3.95
